1_0000001_0_1110100,0.453125,0.458028,0.010704
0_0000001_0_1110000,1.750000,1.761809,0.006703
1_0000001_0_1100011,0.386719,0.388488,0.004555
1_0000000_0_1110110,0.921875,0.941884,0.021244
1_0000001_1_1110100,-0.453125,-0.447595,0.012356
0_0000001_0_1100010,1.531250,1.527424,0.002505
0_0000010_0_1011001,2.781250,2.794908,0.004887
0_0000001_1_1001010,-1.156250,-1.145093,0.009744
0_0000010_0_1001010,2.312500,2.346947,0.014677
0_0000010_0_1100000,3.000000,2.976471,0.007905
1_0000000_1_1010110,-0.671875,-0.664559,0.011009
0_0000010_1_1100100,-3.125000,-3.126307,0.000418
1_0000000_1_1010000,-0.625000,-0.617135,0.012744
0_0000110_1_1001011,-37.500000,-37.546898,0.001249
1_0000001_1_1010100,-0.328125,-0.330342,0.006713
1_0000001_0_1110110,0.460938,0.464533,0.007741
0_0000001_0_1001001,1.140625,1.143087,0.002154
0_0000101_0_1101000,26.000000,26.254627,0.009698
1_0000001_0_1101100,0.421875,0.423554,0.003964
0_0000011_1_1001110,-4.875000,-4.820397,0.011328
1_0000000_0_1010110,0.671875,0.667929,0.005908
0_0000010_0_1010011,2.593750,2.618087,0.009296
0_0000001_0_1000011,1.046875,1.054634,0.007357
1_0001000_0_1110110,0.003601,0.003587,0.003878
0_0000010_0_1110011,3.593750,3.577574,0.004521
0_0000001_1_1011101,-1.453125,-1.440107,0.009040
1_0000101_1_1001100,-0.018555,-0.018534,0.001143
0_0000001_0_1000011,1.046875,1.048521,0.001570
1_0000001_0_1111000,0.468750,0.470564,0.003854
1_0000000_0_1010011,0.648438,0.654023,0.008540
0_0000001_0_1100010,1.531250,1.542909,0.007557
0_0000010_1_1100110,-3.187500,-3.208219,0.006458
1_0000011_1_1100100,-0.097656,-0.095644,0.021034
0_0000001_0_1000001,1.015625,1.017419,0.001764
0_0000011_0_1000111,4.437500,4.430300,0.001625
1_0000001_0_1010100,0.328125,0.334847,0.020074
1_0000000_0_1111000,0.937500,0.945619,0.008586
1_0000000_0_1010110,0.671875,0.676012,0.006120
1_0000000_1_1001110,-0.609375,-0.602828,0.010861
0_0000010_1_1110100,-3.625000,-3.601547,0.006512
1_0000000_1_1100010,-0.765625,-0.769034,0.004432
0_0000001_1_1010010,-1.281250,-1.260055,0.016821
0_0000001_0_1100001,1.515625,1.509322,0.004176
0_0000001_0_1011110,1.468750,1.467430,0.000900
0_0000001_0_1110010,1.781250,1.818911,0.020705
0_0000011_1_1111110,-7.875000,-7.879193,0.000532
0_0000010_1_1001101,-2.406250,-2.373834,0.013656
0_0000001_1_1000110,-1.093750,-1.068092,0.024022
0_0000001_0_1000111,1.109375,1.120410,0.009849
1_0000000_1_1000011,-0.523438,-0.519356,0.007859
1_0000011_0_1001000,0.070312,0.072042,0.024010
1_0000001_0_1101000,0.406250,0.412698,0.015625
0_0000010_0_1001110,2.437500,2.447702,0.004168
1_0000110_0_1100010,0.011963,0.011957,0.000524
1_0000001_1_1000000,-0.250000,-0.248732,0.005097
1_0000010_1_1000000,-0.125000,-0.123191,0.014685
1_0000001_0_1011110,0.367188,0.372732,0.014876
1_0000100_0_1000101,0.033691,0.033946,0.007500
0_0000001_0_1100100,1.562500,1.580525,0.011404
0_0000110_0_1001111,39.500000,39.444920,0.001396
0_0000001_1_1100111,-1.609375,-1.587234,0.013949
1_0000011_1_1101110,-0.107422,-0.106583,0.007869
0_0000001_0_1000111,1.109375,1.112207,0.002546
1_0000001_0_1101110,0.429688,0.436336,0.015238
0_0000010_0_1110110,3.687500,3.741117,0.014332
1_0000000_0_1110000,0.875000,0.872768,0.002558
0_0000011_0_1011000,5.500000,5.501909,0.000347
0_0000010_1_1011011,-2.843750,-2.828615,0.005351
1_0000000_0_1001100,0.593750,0.598640,0.008168
1_0000000_0_1100010,0.765625,0.764073,0.002031
0_0000010_0_1000000,2.000000,1.999024,0.000488
1_0000000_0_1100100,0.781250,0.789096,0.009944
1_0000000_1_1100100,-0.781250,-0.770004,0.014606
1_0000000_0_1111010,0.953125,0.963016,0.010271
0_0000100_1_1101110,-13.750000,-13.494143,0.018961
1_0000000_0_1010000,0.625000,0.645670,0.032013
0_0000001_0_1100101,1.578125,1.603214,0.015649
0_0000011_1_1010110,-5.375000,-5.263683,0.021148
1_0000001_0_1011000,0.343750,0.350913,0.020411
1_0000000_1_1001010,-0.578125,-0.577349,0.001344
0_0000010_1_1001111,-2.468750,-2.421374,0.019566
1_0000001_0_1100100,0.390625,0.393048,0.006164
1_0000000_0_1101100,0.843750,0.852946,0.010782
1_0000001_0_1011111,0.371094,0.373570,0.006629
1_0000011_1_1000000,-0.062500,-0.062244,0.004107
1_0000001_1_1101110,-0.429688,-0.424190,0.012960
1_0000000_1_1110110,-0.921875,-0.913251,0.009443
1_0000000_0_1101000,0.812500,0.819578,0.008636
0_0000001_0_1011100,1.437500,1.440711,0.002229
1_0000001_0_1000000,0.250000,0.248915,0.004361
0_0000010_1_1111100,-3.875000,-3.849466,0.006633
0_0000100_1_1001000,-9.000000,-8.924186,0.008495
1_0000010_1_1110011,-0.224609,-0.221545,0.013833
1_0000010_1_1001100,-0.148438,-0.148706,0.001807
0_0000001_1_1000001,-1.015625,-1.006304,0.009262
0_0000110_1_1011000,-44.000000,-43.240870,0.017556
